std_label,sequence
STD1,1
STD1,1
STD1,1
STD2,2
STD2,2
STD2,2
STD3,3
STD3,3
STD3,3
STD4,4
STD4,4
STD4,4
STD1,5
STD1,5
STD1,5
STD2,6
STD2-DRAIN,6
STD2,6
STD3,7
STD3,7
STD3,7
STD4,8
STD4,8
STD4,8
STD1,9
STD1,9
STD1,9
STD2,10
STD2,10
STD2,10
STD3,11
STD3,11
STD3,11
STD4-DRAIN,12
STD4,12
STD4,12
STD1,13
STD1,13
STD1,13
STD2,14
STD2,14
STD2,14
STD3,15
STD3,15
STD3,15
STD4,16
STD4,16
STD4,16
STD1,17
STD1,17
STD1,17
STD2,18
STD2,18
STD2,18
STD3,19
STD3,19
STD3,19
STD4,20
STD4,20
STD4,20
STD1,21
STD2-DRAIN,22
STD3,23
STD4,24
STD1,25
STD1,25
STD1,25
STD2,26
STD2,26
STD2,26
STD3,27
STD3,27
STD3,27
STD4,28
STD4,28
STD4,28
STD1-DRAIN,29
STD1,29
STD1,29
STD2,30
STD2,30
STD2,30
STD3,31
STD3,31
STD3,31
STD4,32
STD4,32
STD4,32
STD1,33
STD1,33
STD1,33
STD2,34
STD2,34
STD2-DRAIN,34
STD3,35
STD3,35
STD3,35
STD4,36
STD4,36
STD4,36
STD1,37
STD1,37
STD1,37
STD2,38
STD2,38
STD2,38
STD3,39
STD3,39
STD3,39
STD4,40
STD4-DRAIN,40
STD4,40
STD1,41
STD1,41
STD1,41
STD2,42
STD2,42
STD2,42
STD3,43
STD3,43
STD3,43
STD4,44
STD4,44
STD4,44
STD1,45
STD2,46
STD3,47
STD4,48
STD1,49
STD1,49
STD1,49
STD2,50
STD2,50
STD2,50
STD3,51
STD3,51
STD3,51
STD4,52
STD4,52
STD4,52
STD1,53
STD2,54
STD3,55
STD4,56
STD1,57
STD2,58
STD3,59
STD4,60
STD1,61
STD2,62
STD3,63
STD4,64
STD1-DRAIN,65
STD2,66
STD3,67
STD4,68
